Classifier Name	Main or test set	Balanced or unbalanced main set	Number of main samples	Number of non-healthy companies in main sample	True positives TP	True negatives TN	False positives FP	False negatives FN	ROC-AUC
Linear Discriminant Analysis	Main	InBalanced	8037	186	18	7719	132	168	0,83
Linear Discriminant Analysis	Test	InBalanced	8037	186	6	2583	34	56	0,80
Linear Discriminant Analysis	Main	InBalanced	8037	186	20	7730	121	166	0,81
Linear Discriminant Analysis	Test	InBalanced	8037	186	4	2572	45	58	0,87
Linear Discriminant Analysis	Main	InBalanced	8037	186	18	7738	113	168	0,83
Linear Discriminant Analysis	Test	InBalanced	8037	186	6	2564	53	56	0,79
Linear Discriminant Analysis	Main	InBalanced	8037	186	16	7719	132	170	0,82
Linear Discriminant Analysis	Test	InBalanced	8037	186	8	2583	34	54	0,84
Linear Discriminant Analysis	Main	Balanced	744	186	100	456	102	86	0,78
Linear Discriminant Analysis	Test	Balanced	744	186	39	2155	462	23	0,81
Linear Discriminant Analysis	Main	Balanced	744	186	104	453	105	82	0,77
Linear Discriminant Analysis	Test	Balanced	744	186	35	2166	451	27	0,81
Linear Discriminant Analysis	Main	Balanced	744	186	106	461	97	80	0,81
Linear Discriminant Analysis	Test	Balanced	744	186	33	2151	466	29	0,75
Linear Discriminant Analysis	Main	Balanced	744	186	107	467	91	79	0,80
Linear Discriminant Analysis	Test	Balanced	744	186	32	2179	438	30	0,78
Logistic Regression	Main	InBalanced	8037	186	4	7833	18	182	0,84
Logistic Regression	Test	InBalanced	8037	186	0	2611	6	62	0,83
Logistic Regression	Main	InBalanced	8037	186	2	7832	19	184	0,82
Logistic Regression	Test	InBalanced	8037	186	2	2612	5	60	0,87
Logistic Regression	Main	InBalanced	8037	186	2	7837	14	184	0,85
Logistic Regression	Test	InBalanced	8037	186	2	2607	10	60	0,80
Logistic Regression	Main	InBalanced	8037	186	4	7830	21	182	0,83
Logistic Regression	Test	InBalanced	8037	186	0	2614	3	62	0,85
Logistic Regression	Main	Balanced	744	186	89	507	51	97	0,82
Logistic Regression	Test	Balanced	744	186	34	2370	247	28	0,82
Logistic Regression	Main	Balanced	744	186	85	490	68	101	0,81
Logistic Regression	Test	Balanced	744	186	38	2381	236	24	0,84
Logistic Regression	Main	Balanced	744	186	98	508	50	88	0,83
Logistic Regression	Test	Balanced	744	186	25	2355	262	37	0,78
Logistic Regression	Main	Balanced	744	186	97	502	56	89	0,82
Logistic Regression	Test	Balanced	744	186	26	2373	244	36	0,85
Decision Trees	Main	InBalanced	8037	186	152	7805	46	34	0,91
Decision Trees	Test	InBalanced	8037	186	7	2541	76	55	0,54
Decision Trees	Main	InBalanced	8037	186	109	7742	109	77	0,79
Decision Trees	Test	InBalanced	8037	186	50	2604	13	12	0,90
Decision Trees	Main	InBalanced	8037	186	107	7746	105	79	0,78
Decision Trees	Test	InBalanced	8037	186	52	2600	17	10	0,92
Decision Trees	Main	InBalanced	8037	186	109	7745	106	77	0,79
Decision Trees	Test	InBalanced	8037	186	50	2601	16	12	0,90
Decision Trees	Main	Balanced	744	186	125	473	85	61	0,80
Decision Trees	Test	Balanced	744	186	46	2224	393	16	0,86
Decision Trees	Main	Balanced	744	186	142	531	27	44	0,91
Decision Trees	Test	Balanced	744	186	29	2155	462	33	0,67
Decision Trees	Main	Balanced	744	186	124	470	88	62	0,80
Decision Trees	Test	Balanced	744	186	47	2195	422	15	0,84
Decision Trees	Main	Balanced	744	186	122	454	104	64	0,78
Decision Trees	Test	Balanced	744	186	49	2188	429	13	0,86
Random Forest	Main	InBalanced	8037	186	109	7850	1	77	0,97
Random Forest	Test	InBalanced	8037	186	0	2617	0	62	0,83
Random Forest	Main	InBalanced	8037	186	69	7850	1	117	0,93
Random Forest	Test	InBalanced	8037	186	40	2617	0	22	0,99
Random Forest	Main	InBalanced	8037	186	78	7850	1	108	0,94
Random Forest	Test	InBalanced	8037	186	31	2617	0	31	0,97
Random Forest	Main	InBalanced	8037	186	71	7851	0	115	0,94
